Name,ShortPassing,Dribbling,LongPassing,BallControl
L. Messi,90,97,87,96
Cristiano Ronaldo,81,88,77,94
Neymar Jr,84,96,78,95
De Gea,50,18,51,42
K. De Bruyne,92,86,91,91
E. Hazard,89,95,83,94
L. Modrić,93,90,88,93
L. Suárez,82,87,64,90
Sergio Ramos,78,63,77,84
J. Oblak,29,12,26,16
R. Lewandowski,83,85,65,89
T. Kroos,92,81,93,90
D. Godín,79,53,70,76
David Silva,93,89,87,94
N. Kanté,86,79,81,80
P. Dybala,87,92,75,92
H. Kane,80,80,82,84
A. Griezmann,83,88,76,90
M. ter Stegen,36,17,42,18
T. Courtois,33,13,35,23
Sergio Busquets,89,80,82,88
E. Cavani,78,80,52,82
M. Neuer,55,30,59,48
S. Agüero,81,89,64,89
G. Chiellini,59,58,59,57
K. Mbappé,82,90,73,91
M. Salah,82,89,72,88
Casemiro,85,69,82,78
J. Rodríguez,89,85,83,90
L. Insigne,85,90,78,93
Isco,89,94,83,95
C. Eriksen,91,84,88,91
Coutinho,88,91,83,92
P. Aubameyang,77,79,64,82
M. Hummels,81,68,85,81
Marcelo,84,90,76,92
G. Bale,85,87,80,85
H. Lloris,50,10,50,34
G. Higuaín,75,84,59,85
Thiago Silva,80,62,80,80
S. Handanovič,36,12,34,16
G. Buffon,37,26,35,28
S. Umtiti,81,69,73,77
M. Icardi,73,77,54,81
K. Koulibaly,66,66,56,60
P. Pogba,86,87,90,90
K. Navas,30,16,37,19
R. Lukaku,77,80,73,72
C. Immobile,74,83,49,83
Jordi Alba,84,80,74,84
D. Mertens,82,91,74,89
J. Vertonghen,79,71,74,76
M. Hamšík,88,86,83,87
I. Rakitić,87,84,90,87
Piqué,81,59,80,78
L. Sané,79,88,64,85
Bernardo Silva,85,92,79,91
Ederson,56,23,58,37
S. Mané,79,87,71,86
V. van Dijk,76,70,78,73
R. Sterling,84,88,69,87
Roberto Firmino,86,87,75,88
R. Varane,75,57,76,77
M. Verratti,90,90,89,88
Alex Sandro,81,80,71,81
Douglas Costa,84,92,68,91
T. Müller,83,75,72,82
Thiago,90,90,87,90
M. Reus,86,87,75,86
Azpilicueta,81,69,80,77
L. Bonucci,77,69,85,75
T. Alderweireld,79,62,85,74
M. Pjanić,89,86,85,89
M. Benatia,65,64,65,64
M. Özil,89,84,82,90
Fernandinho,85,77,81,82
Iniesta,90,90,85,92
M. Škriniar,70,59,68,67
S. Milinković-Savić,85,86,85,87
