Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
L. Messi,31,Argentina,FC Barcelona,Left,84,97,87,85
Cristiano Ronaldo,33,Portugal,Juventus,Right,84,88,77,95
Neymar Jr,26,Brazil,Paris Saint-Germain,Right,79,96,78,80
De Gea,27,Spain,Manchester United,Right,17,18,51,31
K. De Bruyne,27,Belgium,Manchester City,Right,93,86,91,91
E. Hazard,27,Belgium,Chelsea,Right,81,95,83,82
L. Modrić,32,Croatia,Real Madrid,Right,86,90,88,79
L. Suárez,31,Uruguay,FC Barcelona,Right,77,87,64,86
Sergio Ramos,32,Spain,Real Madrid,Right,66,63,77,79
J. Oblak,25,Slovenia,Atlético Madrid,Right,13,12,26,22
R. Lewandowski,29,Poland,FC Bayern München,Right,62,85,65,88
T. Kroos,28,Germany,Real Madrid,Right,88,81,93,87
D. Godín,32,Uruguay,Atlético Madrid,Right,55,53,70,67
David Silva,32,Spain,Manchester City,Left,84,89,87,72
N. Kanté,27,France,Chelsea,Right,68,79,81,71
P. Dybala,24,Argentina,Juventus,Left,82,92,75,82
H. Kane,24,England,Tottenham Hotspur,Right,75,80,82,88
A. Griezmann,27,France,Atlético Madrid,Left,82,88,76,80
M. ter Stegen,26,Germany,FC Barcelona,Right,15,17,42,22
T. Courtois,26,Belgium,Real Madrid,Left,14,13,35,36
Sergio Busquets,29,Spain,FC Barcelona,Right,62,80,82,61
E. Cavani,31,Uruguay,Paris Saint-Germain,Right,70,80,52,87
M. Neuer,32,Germany,FC Bayern München,Right,15,30,59,25
S. Agüero,30,Argentina,Manchester City,Right,70,89,64,88
G. Chiellini,33,Italy,Juventus,Left,58,58,59,78
K. Mbappé,19,France,Paris Saint-Germain,Right,77,90,73,79
M. Salah,26,Egypt,Liverpool,Left,78,89,72,77
Casemiro,26,Brazil,Real Madrid,Right,52,69,82,86
J. Rodríguez,26,Colombia,FC Bayern München,Left,90,85,83,86
L. Insigne,27,Italy,Napoli,Right,86,90,78,75
Isco,26,Spain,Real Madrid,Right,75,94,83,69
C. Eriksen,26,Denmark,Tottenham Hotspur,Right,88,84,88,84
Coutinho,26,Brazil,FC Barcelona,Right,79,91,83,83
P. Aubameyang,29,Gabon,Arsenal,Right,77,79,64,82
M. Hummels,29,Germany,FC Bayern München,Right,64,68,85,71
Marcelo,30,Brazil,Real Madrid,Left,90,90,76,83
G. Bale,28,Wales,Real Madrid,Left,87,87,80,92
H. Lloris,31,France,Tottenham Hotspur,Left,13,10,50,23
G. Higuaín,30,Argentina,Milan,Right,68,84,59,86
Thiago Silva,33,Brazil,Paris Saint-Germain,Right,60,62,80,71
S. Handanovič,33,Slovenia,Inter,Right,12,12,34,22
G. Buffon,40,Italy,Paris Saint-Germain,Right,13,26,35,39
S. Umtiti,24,France,FC Barcelona,Left,69,69,73,83
M. Icardi,25,Argentina,Inter,Right,46,77,54,84
K. Koulibaly,27,Senegal,Napoli,Right,30,66,56,55
P. Pogba,25,France,Manchester United,Right,80,87,90,90
K. Navas,31,Costa Rica,Real Madrid,Right,11,16,37,21
R. Lukaku,25,Belgium,Manchester United,Left,78,80,73,88
C. Immobile,28,Italy,Lazio,Right,55,83,49,86
Jordi Alba,29,Spain,FC Barcelona,Left,87,80,74,64
D. Mertens,31,Belgium,Napoli,Right,77,91,74,80
J. Vertonghen,31,Belgium,Tottenham Hotspur,Left,68,71,74,80
M. Hamšík,30,Slovakia,Napoli,Right,78,86,83,82
I. Rakitić,30,Croatia,FC Barcelona,Right,84,84,90,84
Piqué,31,Spain,FC Barcelona,Right,57,59,80,62
L. Sané,22,Germany,Manchester City,Left,83,88,64,86
Bernardo Silva,23,Portugal,Manchester City,Left,85,92,79,70
Ederson,24,Brazil,Manchester City,Left,20,23,58,42
S. Mané,26,Senegal,Liverpool,Right,73,87,71,82
V. van Dijk,26,Netherlands,Liverpool,Right,53,70,78,81
R. Sterling,23,England,Manchester City,Right,77,88,69,73
Roberto Firmino,26,Brazil,Liverpool,Right,72,87,75,81
R. Varane,25,France,Real Madrid,Right,36,57,76,52
M. Verratti,25,Italy,Paris Saint-Germain,Right,72,90,89,56
Alex Sandro,27,Brazil,Juventus,Left,84,80,71,80
Douglas Costa,27,Brazil,Juventus,Left,84,92,68,86
T. Müller,28,Germany,FC Bayern München,Right,79,75,72,78
Thiago,27,Spain,FC Bayern München,Right,72,90,87,75
M. Reus,29,Germany,Borussia Dortmund,Right,79,87,75,88
Azpilicueta,28,Spain,Chelsea,Right,81,69,80,68
L. Bonucci,31,Italy,Juventus,Right,44,69,85,74
T. Alderweireld,29,Belgium,Tottenham Hotspur,Right,64,62,85,78
M. Pjanić,28,Bosnia Herzegovina,Juventus,Right,80,86,85,78
M. Benatia,31,Morocco,Juventus,Right,45,64,65,66
M. Özil,29,Germany,Arsenal,Left,83,84,82,70
Fernandinho,33,Brazil,Manchester City,Right,68,77,81,83
Iniesta,34,Spain,Vissel Kobe,Right,77,90,85,65
M. Škriniar,23,Slovakia,Inter,Right,40,59,68,50
S. Milinković-Savić,23,Serbia,Lazio,Right,64,86,85,83
Marco Asensio,22,Spain,Real Madrid,Left,82,86,82,86
N. Fekir,24,France,Olympique Lyonnais,Left,83,90,75,84
Alisson,25,Brazil,Liverpool,Right,17,27,44,21
J. Kimmich,23,Germany,FC Bayern München,Right,90,80,80,75
Saúl,23,Spain,Atlético Madrid,Left,69,83,83,78
R. Mahrez,27,Algeria,Manchester City,Left,81,91,76,79
D. Alaba,26,Austria,FC Bayern München,Left,81,79,80,83
Koke,26,Spain,Atlético Madrid,Right,86,82,89,84
A. Lacazette,27,France,Arsenal,Right,64,85,59,83
K. Manolas,27,Greece,Roma,Right,27,54,61,40
N. Otamendi,30,Argentina,Manchester City,Right,52,51,72,69
Parejo,29,Spain,Valencia CF,Right,84,78,87,78
Paulinho,29,Brazil,Guangzhou Evergrande Taobao FC,Right,64,82,80,83
W. Szczęsny,28,Poland,Juventus,Right,12,11,36,15
A. Sánchez,29,Chile,Manchester United,Right,77,87,75,84
Y. Brahimi,28,Algeria,FC Porto,Right,79,93,72,69
J. Boateng,29,Germany,FC Bayern München,Right,69,64,83,78
A. Vidal,31,Chile,FC Barcelona,Right,76,76,79,86
I. Perišić,29,Croatia,Inter,Right,83,84,77,84
E. Džeko,32,Bosnia Herzegovina,Roma,Right,63,76,72,86
S. Khedira,31,Germany,Juventus,Right,72,81,82,82
Diego Costa,29,Spain,Atlético Madrid,Right,65,77,52,83
R. Nainggolan,30,Belgium,Inter,Right,73,80,81,84
Naldo,35,Brazil,FC Schalke 04,Right,45,60,70,92
B. Matuidi,31,France,Juventus,Left,75,78,77,78
Miranda,33,Brazil,Inter,Right,48,67,69,70
K. Benzema,30,France,Real Madrid,Right,75,83,62,81
Filipe Luís,32,Brazil,Atlético Madrid,Left,86,77,77,71
V. Kompany,32,Belgium,Manchester City,Right,61,63,66,75
Pepe,35,Portugal,Beşiktaş JK,Right,46,58,61,63
Z. Ibrahimović,36,Sweden,LA Galaxy,Right,73,79,73,90
D. Sánchez,22,Colombia,Tottenham Hotspur,Right,36,63,67,66
J. Giménez,23,Uruguay,Atlético Madrid,Right,47,47,58,72
Alex Telles,25,Brazil,FC Porto,Left,89,82,86,80
A. Laporte,24,France,Manchester City,Left,58,59,78,68
Bruno Fernandes,23,Portugal,Sporting CP,Right,84,83,82,87
N. Süle,22,Germany,FC Bayern München,Right,30,42,63,77
A. Martial,22,France,Manchester United,Right,76,87,60,84
D. Alli,22,England,Tottenham Hotspur,Right,69,83,80,78
Fabinho,24,Brazil,Liverpool,Right,79,76,78,78
Marquinhos,24,Brazil,Paris Saint-Germain,Right,72,59,78,53
William Carvalho,26,Portugal,Real Betis,Right,68,80,86,59
Jorginho,26,Italy,Chelsea,Right,75,82,87,71
F. Thauvin,25,France,Olympique de Marseille,Left,83,85,76,83
Carvajal,26,Spain,Real Madrid,Right,83,76,71,64
M. Depay,24,Netherlands,Olympique Lyonnais,Right,79,85,74,87
H. Son,25,Korea Republic,Tottenham Hotspur,Right,78,88,64,86
A. Lopes,27,Portugal,Olympique Lyonnais,Left,19,15,31,20
S. de Vrij,26,Netherlands,Inter,Right,49,63,71,65
M. Perin,25,Italy,Juventus,Right,11,19,31,23
J. Cuadrado,30,Colombia,Juventus,Right,80,90,69,84
Iago Aspas,30,Spain,RC Celta,Left,80,86,64,79
B. Leno,26,Germany,Arsenal,Right,9,16,40,23
N. Matić,29,Serbia,Manchester United,Left,71,80,83,83
L. Hrádecký,28,Finland,Bayer 04 Leverkusen,Right,11,10,20,14
Illarramendi,28,Spain,Real Sociedad,Right,68,78,82,69
K. Walker,28,England,Manchester City,Right,81,79,67,86
I. Gündoğan,27,Germany,Manchester City,Right,74,85,83,77
José Callejón,31,Spain,Napoli,Right,82,82,51,78
A. Di María,30,Argentina,Paris Saint-Germain,Left,83,86,79,83
M. Mandžukić,32,Croatia,Juventus,Right,72,76,67,80
Willian,29,Brazil,Chelsea,Right,76,88,77,79
Sergio Asenjo,29,Spain,Villarreal CF,Right,24,15,39,24
E. Banega,30,Argentina,Sevilla FC,Right,80,84,87,74
A. Witsel,29,Belgium,Borussia Dortmund,Right,69,78,79,78
D. Payet,31,France,Olympique de Marseille,Right,87,86,80,80
Jonas,34,Brazil,SL Benfica,Right,70,84,75,84
Sokratis,30,Greece,Arsenal,Right,47,58,51,77
S. Ruffier,31,France,AS Saint-Étienne,Right,11,12,34,21
Falcao,32,Colombia,AS Monaco,Right,55,75,58,79
K. Schmeichel,31,Denmark,Leicester City,Right,18,12,46,36
Raúl Albiol,32,Spain,Napoli,Right,38,59,72,65
A. Gómez,30,Argentina,Atalanta,Right,82,89,74,76
A. Barzagli,37,Italy,Juventus,Right,40,64,65,54
Quaresma,34,Portugal,Beşiktaş JK,Right,92,89,75,79
A. Robben,34,Netherlands,FC Bayern München,Left,80,89,71,86
O. Dembélé,21,France,FC Barcelona,Left,78,90,70,83
Gabriel Jesus,21,Brazil,Manchester City,Right,66,86,66,78
Ronaldo Cabrais,26,Brazil,Grêmio,Right,83,85,82,82
Josué Chiamulera,26,Brazil,Grêmio,Right,40,56,61,53
Louri Beretta,26,Brazil,Atlético Mineiro,Right,56,75,47,85
P. Kimpembe,22,France,Paris Saint-Germain,Left,62,58,75,55
N. Keïta,23,Guinea,Liverpool,Right,62,88,78,76
C. Tolisso,23,France,FC Bayern München,Right,67,77,86,82
T. Lemar,22,France,Atlético Madrid,Left,83,85,75,79
K. Coman,22,France,FC Bayern München,Right,81,88,63,77
J. Tah,22,Germany,Bayer 04 Leverkusen,Right,35,55,69,44
Anderson Talisca,24,Brazil,Guangzhou Evergrande Taobao FC,Left,78,82,79,84
T. Werner,22,Germany,RB Leipzig,Right,69,83,55,74
A. Rabiot,23,France,Paris Saint-Germain,Left,70,79,83,80
L. Goretzka,23,Germany,FC Bayern München,Right,75,81,79,77
Q. Promes,26,Netherlands,Sevilla FC,Right,79,84,73,82
H. Ziyech,25,Morocco,Ajax,Left,84,83,89,80
Lucas Vázquez,27,Spain,Real Madrid,Right,86,82,75,82
Y. Carrasco,24,Belgium,Dalian YiFang FC,Right,78,88,71,84
Gerard Moreno,26,Spain,Villarreal CF,Left,61,78,56,81
Felipe,29,Brazil,FC Porto,Right,45,57,67,46
M. Kovačić,24,Croatia,Chelsea,Right,73,88,82,79
Kepa,23,Spain,Chelsea,Right,25,10,36,25
Manu Trigueros,26,Spain,Villarreal CF,Right,72,80,83,81
S. Gnabry,22,Germany,FC Bayern München,Right,74,87,68,85
J. Pickford,24,England,Everton,Left,17,14,55,31
S. Savić,27,Montenegro,Atlético Madrid,Right,35,47,69,43
J. Stones,24,England,Manchester City,Right,62,69,74,46
Suso,24,Spain,Milan,Left,84,88,75,78
J. Draxler,24,Germany,Paris Saint-Germain,Right,83,88,79,86
Felipe Anderson,25,Brazil,West Ham United,Right,79,90,74,83
Lucas Moura,25,Brazil,Tottenham Hotspur,Right,75,88,74,79
Danilo Pereira,26,Portugal,FC Porto,Right,50,76,79,76
Nacho Fernández,28,Spain,Real Madrid,Right,70,55,61,54
T. Horn,25,Germany,1. FC Köln,Left,19,20,32,22
Allan,27,Brazil,Napoli,Right,70,82,77,70
F. Acerbi,30,Italy,Lazio,Left,25,65,77,75
Sergi Roberto,26,Spain,FC Barcelona,Right,85,78,78,65
Rodrigo,27,Spain,Valencia CF,Left,72,82,58,83
Pizzi,28,Portugal,SL Benfica,Right,79,80,84,75
K. Kampl,27,Slovenia,RB Leipzig,Right,72,86,79,69
Neto,28,Brazil,Valencia CF,Right,11,19,41,28
O. Baumann,28,Germany,TSG 1899 Hoffenheim,Right,14,19,25,21
I. Gueye,28,Senegal,Everton,Right,60,75,72,80
H. Mkhitaryan,29,Armenia,Arsenal,Right,77,84,71,85
Marcos Alonso,27,Spain,Chelsea,Left,85,79,73,84
D. Subašić,33,Croatia,AS Monaco,Right,11,11,26,24
K. Glik,30,Poland,AS Monaco,Right,29,51,59,57
K. Strootman,28,Netherlands,Olympique de Marseille,Left,74,75,84,81
B. Dost,29,Netherlands,Sporting CP,Right,38,68,37,82
Oscar,26,Brazil,Shanghai SIPG FC,Right,74,78,82,80
M. Balotelli,27,Italy,OGC Nice,Right,68,81,66,89
Luiz Gustavo,30,Brazil,Olympique de Marseille,Left,63,68,77,80
Giuliano,28,Brazil,Al Nassr,Right,77,84,79,78
David Luiz,31,Brazil,Chelsea,Right,68,66,77,79
R. Fährmann,29,Germany,FC Schalke 04,Right,14,15,26,24
Juan Mata,30,Spain,Manchester United,Left,83,82,79,75
Adán,31,Spain,Atlético Madrid,Left,12,12,43,25
Rui Patrício,30,Portugal,Wolverhampton Wanderers,Left,12,20,30,38
Y. Sommer,29,Switzerland,Borussia Mönchengladbach,Right,13,15,31,23
Javi Martínez,29,Spain,FC Bayern München,Right,60,60,74,76
L. Bender,29,Germany,Bayer 04 Leverkusen,Right,69,72,74,74
Lucas Leiva,31,Brazil,Lazio,Right,63,77,81,77
S. Mandanda,33,France,Olympique de Marseille,Right,14,15,28,24
Cesc Fàbregas,31,Spain,Chelsea,Right,85,79,89,77
M. Dembélé,30,Belgium,Tottenham Hotspur,Left,65,89,80,81
F. Ribéry,35,France,FC Bayern München,Right,80,84,74,75
R. Jarstein,33,Norway,Hertha BSC,Right,18,11,34,21
D. De Rossi,34,Italy,Roma,Right,57,64,80,81
Pepe Reina,35,Spain,Milan,Right,11,10,22,24
J. Pavlenka,26,Czech Republic,SV Werder Bremen,Right,11,12,17,21
M. de Ligt,18,Netherlands,Ajax,Right,57,65,72,79
Rodri,22,Spain,Atlético Madrid,Right,63,77,80,70
Arthur,21,Brazil,FC Barcelona,Right,70,82,80,76
G. Donnarumma,19,Italy,Milan,Right,12,28,24,24
Rosberto Dourado,30,Brazil,Atlético Mineiro,Right,61,77,78,60
Juiano Mestres,34,Brazil,Cruzeiro,Right,40,60,58,74
Raphaelito Anjos,30,Brazil,Grêmio,Right,10,9,16,21
Gelson Martins,23,Portugal,Atlético Madrid,Right,81,85,55,72
Gonçalo Guedes,21,Portugal,Valencia CF,Right,76,86,68,81
L. Torreira,22,Uruguay,Arsenal,Right,74,78,77,78
Malcom,21,Brazil,FC Barcelona,Left,79,85,73,85
Pau López,23,Spain,Real Betis,Left,24,18,41,21
L. Hernández,22,France,Atlético Madrid,Left,78,65,63,62
C. Lenglet,23,France,FC Barcelona,Left,36,60,69,58
A. Kramarić,27,Croatia,TSG 1899 Hoffenheim,Right,75,87,53,82
A. Robertson,24,Scotland,Liverpool,Left,86,76,68,67
Dani García,28,Spain,Athletic Club de Bilbao,Right,55,66,81,74
F. Bernardeschi,24,Italy,Juventus,Left,82,86,72,82
J. Brandt,22,Germany,Bayer 04 Leverkusen,Right,77,87,69,80
D. Rugani,23,Italy,Juventus,Right,40,64,59,58
Samu Castillejo,23,Spain,Milan,Left,81,85,77,78
João Cancelo,24,Portugal,Juventus,Right,85,84,75,80
A. Romagnoli,23,Italy,Milan,Left,36,65,69,64
T. Partey,25,Ghana,Atlético Madrid,Right,58,78,79,79
Fred,25,Brazil,Manchester United,Left,67,79,80,76
J. Vardy,31,England,Leicester City,Right,64,76,48,85
